45,4/21/15,TUESDAY,9:00,DAVIDSON LIBRARY,ILLEGALLY PARKED,CRUISER KING,,MALE,CRUISER,WHITE,1
46,4/21/15,TUESDAY,9:00,LIBRARY,ILLEGALLY PARKED,SPECIALIZED,HR HARDROCK,MALE,MTN,RED,24
47,4/28/15,TUESDAY,15:30,CAMPBELL,ILLEGALLY PARKED,BS,SANU,MALE,,BLUE,1
48,4/30/15,,,,,,,,,,
49,4/30/15,THURSDAY,10:50,SOUTH SIDE HSSB,COURTESY,SE DRAFT,,MALE,ROAD,PURPLE,1
50,4/30/15,FRIDAY,13:15,I.V. THEATER,COURTESY,Pacific,Evolution,FEMALE,ATB,ORANGE,21
51,4/30/15,THURSDAY,13:30,CAMPBELL,ILLEGALLY PARKED,BIANCHI,DISHA CONCERT 2004,MALE,ROAD,BLACK,1
52,5/4/15,MONDAY,13:00,DAVIDSON LIBRARY,ILLEGALLY PARKED,SCHWINN,CATALINA,FEMALE,CRUISER,PINK,7
53,6/7/15,THURSDAY,11:30,SAN MIGUEL,ABANDONED,SHWINN,TRAILWAY,MALE,HYBRID,BLUE,21
54,6/7/15,TUESDAY,11:30,SAN MIGUEL,ABANDONED,AVALON,ACONINUM,FEMALE,CRUISER,BLUE,7
55,6/12/15,FRIDAY,14:15,SAASB,ABANDONED,SCHWINN,UR 2,MALE,ROAD,BLACK,21
56,6/12/15,FRIDAY,16:00,UNKNOWN,ABANDONED,Schwinn,Gateway,FEMALE,,GREEN,7
57,6/12/15,FRIDAY,16:00,UNKNOWN,ABANDONED,Firmstrong,Urban,FEMALE,,GREEN,1
58,6/12/15,FRIDAY,16:00,UNKNOWN,ABANDONED,Mongoose,Spectra,MALE,,BLACK,21
59,6/12/15,FRIDAY,16:00,UNKNOWN,ABANDONED,Unknown,Unknown,FEMALE,CRUISER,BLACK,1
60,6/12/15,FRIDAY,16:00,UNKNOWN,ABANDONED,Schwinn,Unknown,FEMALE,CRUISER,GREEN,1
61,6/13/15,SATURDAY,,LOT 22,,Huffy,Cranbrook,FEMALE,,WHITE,1
